left,bottom,right,top,gid,CCTV,경사도,공원,관공서,주차장,주택가,POP,sum,rank
129.041,35.162,129.042,35.163,482,0.0,0.8123249299719888,0.0,0.0,0.0,0.9411764705882353,0.3274084144454247,2.080909815005649,1
129.042,35.162,129.043,35.163,957,0.0,0.8207282913165266,0.0,0.0,0.0,0.8529411764705882,0.3985267248070424,2.072196192594157,2
129.075,35.172,129.076,35.173,963,0.0,0.2773109243697479,0.0,1.0,0.0,0.5882352941176471,0.13606101364804343,2.0016072321354383,3
129.029,35.149,129.03,35.15,2659,0.0,0.1988795518207283,0.0,1.0,0.25,0.5147058823529411,0.0,1.9635854341736694,4
129.06,35.145,129.061,35.146,874,0.0,0.8067226890756303,0.0,0.0,0.0,0.6911764705882353,0.3996162542363893,1.8975154139002548,5
129.066,35.161,129.067,35.162,217,0.3333333333333333,0.09803921568627451,0.0,1.0,0.0,0.23529411764705882,0.08653563387954433,1.753202300546211,6
129.051,35.143,129.052,35.144,625,0.0,0.7507002801120448,0.0,0.0,0.0,0.8235294117647058,0.13104724990237623,1.705276941779127,7
129.069,35.159,129.07,35.16,1215,0.3333333333333333,0.22969187675070027,0.0,0.0,0.0,0.9411764705882353,0.1769521137353022,1.6811537944075712,8
129.071,35.158,129.072,35.159,489,0.3333333333333333,0.3081232492997199,0.0,0.0,0.0,0.75,0.28380795356483424,1.6752645361978873,9
129.071,35.151,129.072,35.152,487,0.3333333333333333,0.1400560224089636,0.0,0.0,0.0,0.9705882352941176,0.17300859571226782,1.6169861867486823,10
129.043,35.163,129.044,35.164,816,0.0,0.4369747899159664,0.0,0.0,0.0,0.8382352941176471,0.3324462828244845,1.6076563668580979,11
129.019,35.144,129.02,35.145,522,0.3333333333333333,0.022408963585434174,0.0,1.0,0.0,0.07352941176470588,0.11924562139334423,1.5485173300768176,12
129.044,35.163,129.045,35.164,155,0.3333333333333333,0.2661064425770308,0.0,0.0,0.0,0.7352941176470588,0.20557877635239047,1.5403126699098133,13
